Geneid,DRX114943,DRX114944,DRX114945,DRX114946,DRX114947,DRX114948,DRX114949,DRX114950
SYNPCC7002_RS01335,8.523385792497246,7.922164898390406,10.747680068219914,10.42249874862695,8.815124349225824,10.863994474801734,8.875356105970656,10.20599087375034
SYNPCC7002_RS01340,5.508955443581003,5.115971993303915,9.521027805191485,9.247526363137828,6.026309851133077,9.63313457463223,5.005925638861849,8.48879991560133
SYNPCC7002_RS01345,11.893720614800854,11.961293073515263,11.178096248366037,11.60066779592285,11.998017589622634,10.891409398881907,11.744643065563418,11.171340015180268
SYNPCC7002_RS01350,4.558559253157776,4.212493990946076,4.827022940731957,5.275243030104406,5.060230147328883,5.142046107989785,5.482143545036217,5.120789724469383
SYNPCC7002_RS01355,5.631505846954779,5.6153245651351895,6.579198679911849,6.770969493424479,5.773193768955584,6.436195841142859,6.087402596662757,6.7554822153423935
SYNPCC7002_RS01360,5.459657524484574,5.636200507659992,5.565869637283678,5.868257947871374,5.39223398325102,5.417133760987004,5.61429266613202,5.465330795913584
SYNPCC7002_RS01365,4.985794222301853,4.868018673767523,6.4655407252969335,6.48943793934923,5.141075806980034,6.26537064106901,5.316760964258849,6.477921836451295
SYNPCC7002_RS01370,7.122401079795504,7.885691284110164,9.587732687354006,9.227512356321192,7.373035086618671,9.203947627539304,8.295028918528145,9.319450918615177
SYNPCC7002_RS01375,5.438403989552925,5.413673329910694,5.473807584865154,6.045892817261484,5.316973233182297,5.558207365262371,5.7630433973623685,6.15352513342349
SYNPCC7002_RS01380,5.267817852767984,5.461459545717468,5.912732118643438,6.319379562367197,5.163552984500366,5.462383222186845,5.513742773922257,5.940257933097786
SYNPCC7002_RS01385,4.781279142790841,4.780835171773382,5.593412862730818,5.711923371082521,4.640353865879736,5.1982238853965725,5.072259627673102,5.380159938714687
SYNPCC7002_RS01390,4.959365741053478,5.148691596572654,5.624899002222453,5.897227464156666,5.134908590198131,5.4193989664011655,5.45678042894937,5.526171901608854
SYNPCC7002_RS01395,7.04305207828881,6.695656646773346,8.656674568698683,8.661401247705431,7.921097745218815,7.650729373994496,7.679610602053828,8.052631936890768
SYNPCC7002_RS01400,6.1644717314722355,5.758225961374792,6.195891668739758,5.7880004230835,6.282591165214757,6.023813538746576,6.293553946149537,6.289185070044042
SYNPCC7002_RS01405,4.764180580831944,5.339753713626667,5.1388012347405825,5.2357713824393155,5.120593952021508,4.7144775082678665,5.1399087493577555,4.941582374905912
SYNPCC7002_RS01410,10.791672315924119,9.934048224590548,8.902319171140318,9.005016673549433,10.344919428262127,9.261504850722696,10.75126273767465,9.28698878697511
SYNPCC7002_RS01415,8.777084945017544,8.788172404928092,8.154682893484736,8.043718031127256,8.55762888035754,7.518307987305434,8.65155734995445,8.80326033050572
SYNPCC7002_RS01420,5.9721448837723505,5.7186477929664425,5.8765413363908,5.833216378452358,6.535441338314512,6.4589020410746025,6.701706753275255,6.2058296017533
SYNPCC7002_RS01425,6.722086909855112,5.72921683075769,7.146338734481329,6.880545748984768,6.443928840753585,6.7338127145952384,6.998878954639722,6.798505354439367
SYNPCC7002_RS01430,4.505235283736415,4.2143380983477785,5.0843913563081875,5.3130266459525455,4.470524529759989,4.502235747751132,4.722252757704536,4.887535419551452
SYNPCC7002_RS01435,5.144431398429054,5.029391526099547,5.3404430545725114,5.638170503034638,5.343762299029258,5.319343375869869,5.43511767915035,5.19257702104174
SYNPCC7002_RS01440,3.823711320831541,3.6520367964123235,4.731101764580753,5.248593840018986,3.938669610824204,4.89362842259759,4.283661169798424,4.862566663191579
SYNPCC7002_RS01445,5.633852345815966,5.672136282872298,6.104539180255365,6.298727493167208,5.693712431408816,6.11395407478133,6.1293881484204915,6.121741575452945
SYNPCC7002_RS01450,7.453475851033408,7.406572092795905,7.695674422269187,8.0649887678163,7.568899912694988,7.7954194983886165,7.944923462657956,7.74163978606948
SYNPCC7002_RS01455,8.011445804796665,7.577502562565384,10.428557820201235,10.385823337557499,7.974381467903397,10.055871961802001,8.164468209224168,10.482683961064007
SYNPCC7002_RS01460,4.903822584678202,4.7404956479606035,4.814172410460255,5.235740417997927,4.728402741202612,4.901746625376559,5.2478019351059775,4.675236206073808
SYNPCC7002_RS01465,7.946041904177858,7.753675808216754,9.157314355497542,9.001071932267347,8.21739045538661,8.965925192845617,8.51038459707163,8.87266511303108
SYNPCC7002_RS01470,5.691214894375271,5.316643567656451,7.254941058024958,7.064782026855059,6.067528112041541,6.9132854385453975,6.5437834189148525,7.197350007111337
SYNPCC7002_RS16370,6.242400813515511,5.3686848928771385,7.762957428644985,7.272819568728044,6.4304117178883295,7.3812563331381895,6.948086420467796,7.451601162133131
SYNPCC7002_RS01475,5.405082166889651,5.0306302675204515,6.5807007378565485,6.678656743155634,5.637139190115124,6.741897400787174,6.051198638844265,6.630400519815111
SYNPCC7002_RS01480,6.03002022775357,5.647231847952249,7.531609122620012,7.423438575520029,5.971280674207416,7.11780003768244,6.422448998101398,7.538574409777125
SYNPCC7002_RS01485,4.748869493972421,4.728703986607983,4.894629890638206,5.1588931984710005,4.915507513839221,4.8290107882557685,5.198827585133416,4.720888715358024
SYNPCC7002_RS01490,4.046904182441774,3.618076225569977,4.466679655352466,4.815868911019907,2.747994013537063,4.983744011280047,3.0996601887982966,3.781609349493915
SYNPCC7002_RS01495,3.9518814531640847,4.2007068264964795,4.126075910846026,4.715927185766424,3.4940368701285336,5.347452662006113,3.512469412277733,3.4046227940431826
SYNPCC7002_RS01500,5.494750501385251,6.915262273300896,6.4095403682519665,5.7253020967572565,5.989625729161889,6.169451696271498,5.614478158219481,5.542463617708016
SYNPCC7002_RS01505,8.44095155438545,8.556673823118047,8.129889692617754,8.08245308044888,8.503967720845633,8.15524476193719,8.744597875776286,7.2334353815791
SYNPCC7002_RS01510,4.898021951244689,4.77347994189907,5.205785521385987,5.738931898406758,4.95952103519206,5.529066964128292,5.000424121770797,5.237324119041882
SYNPCC7002_RS01515,6.100706341558256,6.1297335323307305,6.140854231299041,6.334351588760746,5.6630323682381185,5.8692747921448785,5.99922279778458,6.185786823509888
SYNPCC7002_RS01520,5.412092727647096,5.141251061539963,5.028300752230839,5.566590360298592,5.321392903618447,4.8402832031667975,5.262407515321636,4.988071320890806
SYNPCC7002_RS01525,7.924725706518116,8.182883154088053,7.658146893624019,7.42895244213464,8.109136540200959,7.442877023406318,8.312255773938654,7.699188522696873
