Geneid,SRX9895140,SRX9895141,SRX9895142,SRX9895143,SRX9895144,SRX9895145
SGL_RS14825,9.164728818843646,9.758915693706436,9.362251621439079,8.799353063102071,8.804362735949764,9.338368255385237
SGL_RS14830,3.9711710471581894,3.523549814856342,3.67623308969127,3.935639365547917,3.7669463023209393,4.070021275202226
SGL_RS14835,4.9677714703906215,4.490009908818308,4.807394923169641,4.529237448943653,4.482666775020945,4.735814681627833
SGL_RS14840,5.851029475252901,5.046585331947111,5.5486039104384846,5.791161097198509,5.62188242415763,5.93939964926938
SGL_RS14845,4.358730469848846,3.585982020297966,3.9896433149594106,3.1577318136370405,3.3232512441226847,3.8877409528931954
SGL_RS14850,3.4055766431491774,3.1485785909723725,3.0203917618898912,3.02569082027005,3.0018726480395044,3.2335437455925327
SGL_RS14855,13.59248611188174,13.578003380826216,13.517747707989543,13.628890306388165,13.7529023621594,13.541305302581776
SGL_RS14860,4.245469856609285,4.067586918082587,3.822768485099767,3.90906429795686,3.8853130619311345,3.7029498332493276
SGL_RS14865,6.645593784708168,6.364334335476409,6.467676266669542,6.544388879564054,6.637920698186539,6.24026005923195
SGL_RS14870,6.286138389301724,5.788149322757766,6.064889677216999,6.613653465359901,6.654275638973886,6.122006864599085
SGL_RS14875,6.343338693858916,6.112556065479579,6.2762761178652315,5.92940002298074,5.940821213744963,5.700799746375434
SGL_RS14880,6.290742419690499,6.396890428463479,6.234436895923234,5.577302672495916,5.584992718789738,5.763362092638076
SGL_RS14885,8.129674085176026,8.100879656807368,8.05074891361942,7.749287726151254,7.8202369506901865,7.795553657800661
SGL_RS14890,9.629577294336478,9.573214249711707,9.689151690501832,9.796316549795828,9.826626742515,9.722832737477475
SGL_RS14895,5.664644865814477,5.80643024848221,5.663833203362857,5.47492850955233,6.007615931588501,5.849541854920548
SGL_RS14900,3.670992970159734,3.7690772944740845,3.3835319910952504,3.948994405154375,3.619703247072384,4.41851425028044
SGL_RS14905,9.875459764074947,9.391500576381445,9.596286667640102,9.056886294767603,9.030861886743384,8.691583326990504
SGL_RS14910,9.283177555611813,8.963553370256644,9.003954038271619,8.982581304142727,9.130733948363677,9.193483058860398
SGL_RS14915,7.3301683246656735,7.123278360410233,7.129176139559331,6.627250373818671,6.724972742886617,6.957163308673133
SGL_RS14920,5.369526972174004,5.261896103240572,5.2068802494721105,4.623789824736485,4.490093134945068,4.860029381068076
SGL_RS14930,6.838745282952284,6.442188344136985,6.686717087586204,6.176352933291325,6.228632518926939,6.837994798514297
SGL_RS14935,7.206634525993785,7.507129871390127,7.200481495852496,6.898999617068647,7.051839590170577,6.871323351061523
SGL_RS14940,6.9058777917961995,7.532872552264303,7.197987646361678,7.553966853426072,7.573250192920044,7.310849463750181
SGL_RS19990,3.0637187874333196,3.0715074141155356,3.037719271568604,2.8754951714760453,1.0632099183763575,2.1775891119251374
SGL_RS14950,8.769143509847948,8.684860484799243,8.790339949317485,8.974263891656017,8.841066273222847,8.82810981725419
SGL_RS14955,7.237886609687075,7.405155367041125,7.1715233961253775,6.199136462827924,6.278665846318007,6.704597902166157
SGL_RS14960,7.206477244831397,7.541480366448587,7.301006275909819,7.456399834564892,7.62228668805319,6.6663084211610775
SGL_RS14965,5.988971583081973,5.686868348207876,5.666698991925514,5.634369887893749,5.711984881104954,5.883945354552626
SGL_RS14970,6.389770963630175,5.9946543333448945,6.174129085361019,6.266396250330665,6.5780576151274355,6.2944781720983025
SGL_RS14975,6.828240659517624,6.710977089868248,6.693016752898191,6.559786608651471,6.579650033808791,6.8138089116611225
SGL_RS14980,5.456486838983128,5.176031443900637,5.3078042305512065,4.002954340594479,4.301908029481418,4.689718562822398
SGL_RS14985,7.682740027477375,7.1766012327222235,7.459343657682136,7.030539529806049,6.960914133741696,6.9106202440009605
SGL_RS14990,10.578409366384522,10.501290741446256,10.48464902611357,10.410428202424026,10.210834402433136,10.012597766779653
SGL_RS14995,3.948747673675522,3.1518448149155582,3.4275592730453233,3.523216603732488,2.6230949351014012,3.3567456619535223
SGL_RS15000,5.760952919749595,5.769633776476758,5.477291780713257,6.189403743668372,6.389389204299458,6.071475689707237
SGL_RS15005,6.246763886510982,6.201257927432379,5.362470550675007,6.7440732152887515,6.809668015773632,6.3664218615993855
SGL_RS15010,3.8661356210868316,3.0681319068176482,3.9093831139124813,3.8150120425638314,3.39720941923041,3.6348860643414778
SGL_RS19995,2.6365394675402807,1.632355500163658,2.262394950175744,2.0656492854041604,1.588918366935731,0.7220426795533164
SGL_RS20000,4.893111652099369,4.373697583453506,4.461117548468918,5.195166174775828,5.2244296375852635,4.270984306917107
SGL_RS20005,0.0,0.0,0.0,0.0,1.2098140548021759,0.0
SGL_RS15020,4.39061722619737,4.269995840308613,4.244472375299217,4.2855187815013815,4.253033669979412,4.185500748909512
SGL_RS15025,5.828249544348477,5.56430651840905,5.7015582853266835,5.845693309141802,5.474414635899962,5.811192683406588
SGL_RS15030,5.043752907810517,4.748279964896407,4.9362346494444775,4.719382234882355,4.767201791144152,5.262280463456963
SGL_RS15035,8.10935607749166,9.211464266951392,8.765416944652726,9.134265408009256,9.024896441355924,8.256751911929694
SGL_RS15040,9.627965316475535,9.854926271766125,9.765426839400472,9.70013661092042,9.775159741154335,9.595983403802157
SGL_RS15045,6.061056361557869,5.832910122425424,6.085991037033542,6.222973245566778,6.158131379461842,6.143120554971589
SGL_RS15050,10.14797062654861,11.161957759605698,10.674833916687938,11.305592731077237,11.490383187963122,11.252334673384228
SGL_RS15055,8.889290871253738,9.506113657268656,9.150631739148412,9.67250661043842,9.659402244681871,9.445331875701747
SGL_RS15060,3.4849344402636193,3.3027339441253805,3.4259242169707287,3.391850292323536,3.4779687241557107,4.546606795674615
SGL_RS15065,5.8371795749584106,6.127108988179542,6.011437612164792,6.1761983416394,6.198500990717031,6.046259875751734
SGL_RS15070,6.156689056424526,6.196229070103322,6.2038309283029545,6.45221282034112,6.477263823092038,6.03912632088481
SGL_RS15075,5.461044096775143,5.251803011401325,5.465514905392559,4.94086109107321,5.027906686839593,5.400022659835614
SGL_RS19055,9.61487457175464,9.018746082942513,9.22275105135203,8.334103440844704,8.275249790982159,8.529015083926692
SGL_RS15080,8.997453127029836,8.486938375072615,8.844461855935627,7.6891498964132685,7.9279941422912135,8.197742114262645
SGL_RS15085,6.577560088626878,6.652925164695799,6.543141012116098,7.031315844753403,6.882381012357338,7.164873351107112
SGL_RS15095,6.524351236972216,6.011443571627759,6.250600021108697,6.332562210447387,6.269638339385005,6.275398427860691
SGL_RS15100,4.856974176608611,5.04191296491002,5.10895707430962,4.23508153714869,4.412967488754966,4.395821864415032
SGL_RS15105,3.895226540341141,3.757546968273061,3.3746458947099987,3.74163884571688,3.6511733979259997,3.2950774662760525
SGL_RS15110,3.479650667899024,3.8468639150733033,3.602885031296986,3.897027699494571,3.2361413846576212,3.4044815987496486
SGL_RS15115,6.703614353351249,6.73452935080811,6.78232677937164,6.404473617640045,6.524190490068932,6.327327831562797
SGL_RS15120,6.134689696371256,5.263818195355915,5.768868815716719,5.7039191602746735,5.691593121892267,5.940336156161685
SGL_RS15125,4.263741303939209,3.678431660801905,3.8459924019020892,3.6935267169832753,3.658021076300984,3.8912766961902348
SGL_RS15130,3.6056271748121094,3.437839309768236,3.5345712972735712,3.153138747722345,3.1558986875299953,3.676062054853217
