Geneid,SRX368713,SRX368714,SRX368715,SRX368716,SRX368717,SRX368718,SRX368719,SRX368720,SRX368721,SRX368722,SRX368724,SRX368725,SRX9848492,SRX9848493,SRX9848502,SRX9848503,SRX9848504,SRX9848505
SGL_RS08780,6.3852426802102515,3.582195189547501,5.089898250729965,4.202840999332282,5.803133736248739,6.192203366662857,6.247152789986726,5.478070267986952,4.537349275297228,5.616778221086893,5.81294175014874,6.062139269192766,3.8054649569612824,3.807689143970266,3.6767758899792975,4.048687346825265,3.772780876110613,3.787763080945126
SGL_RS08785,8.471804470720414,6.827994734157631,8.090658030657215,4.688389257390067,9.041120840674791,9.11310780688311,7.829397858846024,8.289151079884835,9.661375767267119,7.926269849070203,8.926886720346937,10.064484195455616,6.961016117558585,6.967428613115746,7.065399112476891,7.188689494151535,7.04492947071355,7.176423198400034
SGL_RS08790,5.796044557030338,2.232048786146723,4.328964727424592,0.0,5.083628684948179,4.951064708209432,5.46387850672422,4.155855511337135,4.057274266950966,3.684536145647686,5.229876264596366,5.2151296169124555,0.43560636565404914,1.9085784313773277,1.358247282902964,1.5025386331312065,1.809430040750876,1.7666681385458016
SGL_RS08795,4.799691685672414,4.274470893597938,4.6522652237664115,3.8319523555916346,4.7381099618985605,4.935163507382303,5.886397508396796,4.196548265169722,4.308792244860643,4.203351979509496,4.564393563515316,4.225179493445457,1.723222756307635,2.724116517116805,2.5395152078028636,2.6558219789223587,2.562537900226937,2.388528293907285
SGL_RS08800,7.017678838763624,5.691401606796297,6.735334383937509,3.662629261595466,7.293855838342758,6.893177147660276,6.921747146965601,6.671624748608946,7.441487089939651,5.756250534260159,7.135581895954461,7.406412799076114,5.124461447447683,5.289429306302544,5.265496122011234,5.51507616032113,5.5967110010460335,5.530137217799158
SGL_RS08805,3.241701382248743,4.072412512182123,3.9531797653975347,3.86359316215009,4.686688942247563,4.696987028775343,4.943467339058785,3.369136602931807,4.627249571162227,2.6519495247411458,2.556883431063674,4.096857817604946,1.174321071089578,0.0,1.7611546780189993,0.0,0.9208601847587162,0.8927735905382749
SGL_RS08810,2.864398303058136,1.5649237083918468,2.752534113602662,1.6948090103664575,4.077846807051128,3.790872345908458,3.796726250833071,2.724840908430991,3.645108664161881,1.206879754545758,3.4694035033060584,3.1662036500257096,4.128519696064477,3.4795756974767276,3.5174445019709997,1.1083648282642133,2.0341461599716646,1.7368291532748916
SGL_RS08815,2.351997278028348,2.8366328274589963,3.475824658184389,3.5269005123314936,4.412025148732888,3.0464205741602735,3.8076770588587148,2.1679976266354393,3.0313921359640346,2.489779661534991,3.3898084113036533,3.669974972374817,5.441422285212534,5.798957183137853,5.601390631378983,1.6670313175269595,1.6233111552568804,1.5829330364385616
SGL_RS08820,2.288221743766939,2.81871691732643,2.220168398239682,4.220212900368551,5.890179871558899,1.991852459255695,3.41732557559341,1.7861619464656435,2.455233218089178,0.0,3.8906040649150118,4.535761021157274,6.457204921382032,6.935196753071738,6.933816721182337,1.7479553937030743,0.8642404250565389,1.5690741797358216
SGL_RS08825,5.261324445295887,6.184165017320681,5.506237255555871,4.424913615841692,6.917142112247881,6.01434557314345,5.601957240603872,5.496837079360922,6.312112876944577,5.1702505959225,5.749181455580763,4.157860796172562,3.221149998095548,3.5700191740011116,3.222037936788834,3.4286471019157543,3.3704687764759615,3.4404826995785687
SGL_RS08830,3.677639264130738,3.3496663087737257,4.821541571237667,2.868192808233236,3.4889891405263525,2.371025230769221,4.656315118805626,3.9014861431048184,2.6293047992200727,3.976387778144313,5.222125658470274,5.837111244605092,4.4615504663048275,5.187800707977279,4.73055973083709,4.491153117873468,4.7960226503760115,4.047137140737658
SGL_RS08835,4.389627057303539,3.4413618911694903,3.8038808694442907,1.1421790643174579,3.6591365484599585,3.368278499627225,4.384171227731158,3.408189344039369,3.2397676427209117,2.878399396070403,4.794314380167785,5.747440576942456,1.5919285979756754,2.280471391629365,1.7853792086022766,1.521630629161219,2.1570262452967026,2.323415409011439
SGL_RS08840,5.855709003286925,7.463376651728379,6.051788577224464,5.35405652202713,5.433307936771499,4.919096560845639,6.443905562239965,6.7909616437471545,4.9906252445869885,6.215956926896311,4.818229393109152,5.465507033571873,5.180931745841911,5.8265657086545675,5.801192868077632,4.702331908514732,4.411524682507836,4.73696844382775
SGL_RS08845,6.873747786207355,3.835704560822716,7.968167528683384,2.9069454412449587,6.772950232197939,8.140790483538959,6.269255170129816,4.190657682450622,3.8002658715249122,4.127002631084925,7.5118065379225545,7.527266130050666,3.143164801383347,3.197266415366851,3.233101899112504,3.9170743177686,3.6996152119689416,3.5204849631708353
SGL_RS08850,5.499505698321488,4.235840526556715,5.754164986595755,2.0882075619324176,6.810498129842959,7.129148573882816,7.087264644135145,5.843482265797551,7.163471043139813,5.286775381985356,6.179447565436343,6.1170925720945055,3.009990507421449,2.8387103129687006,2.9136934155574186,3.2225986000995688,3.05808425149607,2.86577380409093
SGL_RS08855,4.505440412972556,3.161346258655882,3.8173796956645853,2.469559208268751,3.553731101877656,3.6270185998675277,5.2305962211466746,3.8016452456179066,2.9437422357446366,3.299743563680509,4.287862387703099,5.464410443580799,3.1000390933506385,3.1896643271237104,3.4769342943381534,3.2861613235493836,2.86398826690204,3.128400378204283
