Geneid,ERX5015785,ERX5015786,ERX5015787,ERX5015788,ERX5015789,ERX5015790,ERX5015791,ERX5015792,ERX5015793,ERX5015794
SGL_RS16180,2.344006580891627,2.6416115492040384,3.2403465088521566,2.952520878529845,2.4419133337936563,3.1220682366937997,2.7617507729076474,2.901627049886101,3.6444855394130284,3.968731165957149
SGL_RS16185,4.063022643702529,3.7074995873419927,3.0132781476300394,3.6011153789226227,3.7073591961568515,4.281742714908942,4.207852866177497,4.409506191991818,5.17109832272548,4.95803785710237
SGL_RS16190,4.364708248819461,4.637192555534303,3.4099131862454772,3.6596242077703804,3.7545778434690344,5.220701584087567,4.702919060194131,5.713509144101716,5.946154805734164,6.277656156982121
SGL_RS16195,3.249468292583848,4.405538145147131,3.34458199124174,1.326281164647863,4.3377444804568,6.621729627205796,5.499961423118806,5.444863008822754,5.804575947438542,5.714955634949434
SGL_RS18430,9.713089640529232,9.440695055266495,8.924481354972112,8.492581299787577,8.607154141964493,8.648159914284962,9.031400458952001,8.593736880822222,9.334239166990383,9.679321157961159
SGL_RS16205,4.848623222045142,4.70757151644995,4.430801884097892,4.393065609355673,4.0125816479389185,3.857009139090512,4.20130350569252,4.288712177676947,4.369089975848127,4.594205026431866
SGL_RS16210,4.841556435523286,4.558936644507978,5.3761759181874815,5.4956266856483085,4.558791065476018,4.908264466638346,5.581203583081967,5.608060864141848,5.7913752914527175,5.331550532328741
SGL_RS16215,4.883526010996397,3.618025721376246,4.512476500595449,4.406512720054544,4.257760817157349,4.439552111886325,4.417655043201091,5.217986868070146,4.837545044559813,4.824709175803233
SGL_RS16220,3.682046206824084,4.0999662856009795,4.726467094208567,5.092810742056743,3.7521288906152543,4.096496711126252,3.8876178287026146,3.744266817169346,2.848525944610356,3.1797621725452894
SGL_RS16225,6.1873278767570525,6.223992800741687,4.291455130249816,4.3413084640941495,4.053043577845817,4.285793907255902,5.328444226470704,5.020406660594072,5.435892023824719,5.447408557209493
SGL_RS16230,6.1214450260739195,6.748490922961055,4.184059884483765,3.8256310172001746,4.011502049890601,4.417155710510803,4.747965065132175,4.7691266287114855,5.905610225330777,6.127674229733495
SGL_RS16235,0.0,0.0,0.0,1.2022862798073366,1.9124919288085394,0.0,1.7288501752866532,1.458883516527806,0.0,1.2567750365626598
SGL_RS16240,4.616642468893178,4.352093854039435,4.670650284783522,4.201647439599489,4.2459016380284424,4.4210495096139955,4.844559001448096,3.7729322374395142,4.776027929175438,4.812636543721462
SGL_RS19355,4.108244460589493,3.411117607372326,4.2082018781065,5.367819226325606,3.194424028546042,4.279856464762211,4.7334232215714405,3.127270549169271,3.8175499162395723,3.353599338211571
SGL_RS16245,4.864925019544191,5.244134931477081,5.3458556723822745,4.590247205562859,4.235726474661691,4.615593777463449,4.227819037579046,4.469976756525062,4.412799840978661,4.242938644006866
SGL_RS16250,2.7449386573557013,0.0,3.19911961661219,0.0,3.027960336958756,2.2871914402812097,2.2000874555281142,4.323026925895073,2.981492264224756,3.5596937373200546
SGL_RS16255,2.612549537429648,2.5498286371689747,3.2202276624434765,2.602896403935996,2.840420418017949,2.087130557515823,3.415996889246152,2.9675857224936406,3.649542809265859,3.4681551359690186
SGL_RS20045,0.0,0.0,0.0,0.0,1.7195564074224206,0.0,2.7570842307766266,0.0,2.227794485194582,2.9848566791080744
SGL_RS19110,0.0,2.1281286052930106,1.2382836707543383,2.1230173571568396,1.2787304760735376,0.8948433228487487,2.1960934893074393,2.4624292565894765,2.480894487999643,2.19676620605222
SGL_RS16265,1.5639945136503357,1.73183298773463,0.952990278750392,1.9157198622295752,0.9870062446783326,0.916581103221629,1.1592066841478488,2.720617959946983,1.366056887589298,1.9861545913454919
SGL_RS16270,4.438701693486327,4.40408432412468,5.589944068377188,5.898016865943655,5.000211303842796,5.268133394191325,5.313214358908183,5.41170406396606,4.2342804141825034,4.474562233373799
SGL_RS16275,1.2673502410986317,2.587024316514971,2.596425253148452,3.2442087222486915,2.8080232034767105,2.8843104879091004,2.6603442510712823,2.9452394796445067,3.4868755287517543,3.0798080481042662
SGL_RS16280,4.5935159359509825,3.8805441383436197,2.229483448737609,1.9003821653843769,3.657096528477548,3.149549480957797,3.5777791233063265,4.27577612324364,3.57102826515492,4.320099866792345
SGL_RS16290,3.8659216504595344,3.8929795582332196,5.18839762263634,5.296395152484008,4.855224905853854,4.645329625187884,4.709594128926903,5.03656575646935,4.158809065918694,4.09028682337075
