Geneid,SRX2492746,SRX2492747,SRX2492748,SRX2492749,SRX2492750,SRX2492751,SRX2694285,SRX2694286,SRX2694287,SRX2694288
SGL_RS05060,4.036908034043913,3.5329893676527413,4.098755634452167,3.290000557199546,3.2558968975316427,3.6490140075126347,4.610142161767221,4.791983667460758,4.6677522688758195,0.0
SGL_RS05065,3.22968810078014,2.80296202962858,3.0271783273454895,2.1805406746294755,2.794502295899232,2.771740119160699,3.722068067181555,2.162262755020727,3.244324537027463,1.7469498650029571
SGL_RS05070,5.716538573790803,5.219497415694203,4.853334593806314,4.54547155977507,4.046266357077648,4.7613649429713885,4.447582358427393,4.62855361546766,3.0417380692946825,3.177178315611125
SGL_RS05075,6.708764178920971,6.59620715595501,6.269057876785446,6.531593132419905,6.236789609981907,6.164398352695514,5.9169910954159475,5.893110056792077,5.393658454166873,4.878497319712902
SGL_RS05080,6.100631215584047,6.546557438412321,6.079114047200336,6.394008820078712,6.730497182717,6.5985424762298575,6.190200664832278,6.166249711713707,6.05133268853384,6.497195322788731
SGL_RS05085,6.222172819197759,6.221734657141572,5.8838559018095005,5.684683695265093,6.433541272889451,6.13480854558889,7.008125884046996,6.513810526529891,7.116239417738739,6.6880994342500655
SGL_RS05090,5.557962353689274,5.99477884851922,5.590315248603397,5.699310683122503,6.258736289086925,6.217856942526373,7.02821553401415,7.13591341458377,6.272797314745994,6.9662881274273705
SGL_RS05095,5.030451362797608,5.431602400348722,5.127635526105279,5.136902800491024,5.699894159230064,5.777010156848501,7.424979705937946,7.566005123392987,6.046871437671532,6.464600403522141
SGL_RS05100,3.9350628168993973,4.59223921581509,4.4094029279080695,4.601453364789151,4.947437418118222,5.316991069457747,6.823729350010733,6.638738728087516,7.350046633826813,7.219877762847337
SGL_RS05105,2.6598217377693127,3.417019057305694,3.211742991085999,3.470801958920947,3.4342854682341524,3.609906225636097,5.179269270432569,5.70640557559702,5.987368822558371,6.138275216882775
SGL_RS05110,6.253618356530732,6.272308289437542,6.429833772042133,7.121328548719139,7.363870188658673,7.586720259291309,8.972604377286915,8.917380987850212,10.25332386904147,10.213547534483482
SGL_RS05115,5.577665212090205,5.699813662538872,5.567946656532009,5.945535625425055,6.268696383396701,6.57172167331768,6.9487558900852875,7.0025130385117595,8.585771310862887,8.789101782401321
SGL_RS05120,6.797200024129698,6.3939031666659325,6.9903563178934744,7.329271565302862,7.052137525502337,7.092319760442165,0.0,0.0,7.1724229462127,6.501522335906889
SGL_RS05125,7.653857732996818,6.9742212181377505,7.480857082233385,8.168744546636452,7.897949668207607,8.067504104246135,5.109159894346861,5.458963648149611,6.660469712359591,6.5384234096870255
SGL_RS05130,6.867357774041863,6.658093366555772,6.528815922283134,6.71272477564614,6.805587453349363,6.5447041065009115,6.986411017868644,6.868384017128188,12.132550573097998,12.106479620285763
SGL_RS05135,4.959850808324917,4.9568256465175615,4.981142544257228,5.296488698939741,5.306744618723398,5.381697726518961,4.79343306458432,5.1282831791164005,5.2153409615652455,5.108574379934682
SGL_RS05140,6.797540475227168,7.021528442100981,6.821276516817033,6.535114508562688,6.733707927269322,6.903138652326296,8.20363787105564,8.105442875467695,8.390440180224099,8.563330354090603
SGL_RS05145,4.323919059937034,4.367047296139655,4.031105201002112,3.494052357139668,4.4102825568348,4.448886964147781,5.031683423047847,4.253690604535887,4.525968079783649,5.238829563882059
SGL_RS05150,5.249249590144628,5.806690069880162,5.913073488254037,5.227215289594894,5.365447372830617,5.573911394781679,5.882150982240055,6.137625090875961,3.710235478869901,3.8522869596272256
SGL_RS05155,1.9595657683437322,2.575892504603586,2.072639457540984,1.9764352444508804,2.865798865927785,2.425863651117839,3.641883925936805,4.247967290293112,3.6971859892797014,4.5352054163177975
SGL_RS05160,3.3640541253311547,3.3636531526779065,3.561167993651909,2.0247208746320817,3.2745860337965675,3.27320512134036,4.393107410047661,4.883525067941449,3.5148534644861935,0.0
SGL_RS05165,9.670055882643323,9.264416253048882,9.529992440021763,9.811697823598017,9.426679383767738,9.696715840790631,8.573138846570103,8.671403555699696,7.252797308407176,7.588445968189561
SGL_RS05170,4.894288697613562,4.8152116182845655,5.080813062375999,4.4584740604192294,4.639136745188956,4.898658716604538,5.7388489312988105,4.548657301998454,5.225713578040494,4.807339000044277
SGL_RS05175,1.659928299214986,2.187946822326693,1.9300454516496535,1.3595552908065072,2.068974974146845,2.3555461547846708,3.8205430564744667,3.611830153755063,4.084685599057315,4.229293063369978
SGL_RS05180,3.1026730873082315,3.7772731974809437,3.9976857355325772,2.941523788948403,3.9853595126432637,3.829390450326501,5.938458897345343,5.257549991402235,6.074332773176185,6.434245745759324
SGL_RS05185,3.2719831472748573,4.028713558510402,3.9239783308524085,3.123448408608737,4.151676080315277,3.9595610578546614,6.544088918008745,6.115005269788355,6.6034780416564365,7.096300385499411
SGL_RS05190,4.05732015119314,4.340632748537947,4.3497386280061345,4.365282897237508,4.470209578053774,4.664924089403757,6.002753484674515,5.983589822407559,6.265424144237519,6.212877472666455
SGL_RS05195,3.2133247146779267,3.7020527039961655,3.953824617114847,4.412385770620878,4.527813427569142,4.871723310945477,5.955873986483211,6.529578567431617,6.332405041486308,6.165895657184345
SGL_RS05200,6.358761987409278,6.501314639141627,6.723660872887501,7.0540719870430095,7.3136014529815885,7.421135603264574,8.557924207556317,8.592603319003148,7.151919952257311,7.003662535283994
SGL_RS05205,2.0109854882317006,2.182858321039111,2.223160486783689,1.7989820175450817,2.179864412595644,2.3962628133143085,2.4054403112151035,2.643849263476092,2.757173807250548,2.5807525192583527
SGL_RS05210,5.083332174662708,5.311759671738697,5.224364487084007,4.954975964759577,5.511060641114535,5.34619230810509,7.609903382386269,7.375100051432847,6.59387384675843,6.634758554542298
SGL_RS05215,5.743918875687472,5.54304018404527,5.520812838695275,5.5515572507531665,5.123257789662479,5.494416485347631,6.5651434475656565,5.932683120536927,5.6390895006494866,4.815221798209886
SGL_RS05220,3.8055229918386018,3.979291753976799,3.922294471650588,4.01727538306877,4.270013805392099,4.098118568834565,7.386401638021351,7.2748358348110775,6.382413630688033,6.1402657382648655
SGL_RS05225,3.4468821187097585,3.5142572874032454,3.7510515100716604,3.3049483414292657,4.166161938572459,4.39233244345085,5.7865899131942955,5.993221233423771,5.519458453801751,5.018639236946884
SGL_RS05230,10.48291271444939,11.191860372748822,10.54613773779356,10.378437399770128,10.800914632726913,10.757292373484916,10.077707914042122,10.07418341044677,9.181946283877018,9.029320052055906
SGL_RS05235,12.438177526138471,13.095227070283508,12.403227586243204,12.420261416896537,12.762340410112966,12.645178622004332,11.991381734627234,11.95582033793447,10.953429488192665,10.92821031628709
SGL_RS05240,12.077699872410475,12.863542842801438,12.070604206285704,12.054913149237025,12.587042416505914,12.435089451884009,11.794275324660438,11.761646145884487,10.87689809916387,10.83947753803653
SGL_RS05245,14.380714106629423,14.969199481627552,14.310840987417304,14.098288527669402,14.657177552357522,14.575932050124765,14.961309040734537,15.007353780622825,12.166567659812657,12.364538636708275
SGL_RS05250,13.959491294652967,14.627724150503026,13.926190142145375,13.549840615587863,14.26879283490755,14.135736573029217,14.33375567950124,14.357440458236145,11.911148151090261,11.939655055821945
