Geneid,SRX11490741,SRX11490742,SRX11490743,SRX11490744,SRX11490745,SRX11490746,SRX11490747,SRX11490748,SRX11490749,SRX11490750,SRX11490751,SRX11490752
SGL_RS02250,5.875517794527666,5.840658304316647,6.228892435200129,6.121743437222944,6.136699778779279,6.194671845469682,4.717793581209737,5.140680052016629,5.32752769564456,5.523311388897347,5.549466087613107,5.945630442664509
SGL_RS02255,4.2779540069529505,4.302471324390685,4.2044557420477,4.363619524899422,3.6796162013305045,4.1344339287932765,4.409506991660513,3.751372426420804,4.314890950673196,4.186397625020989,3.374890370943941,3.9183555197471067
SGL_RS02260,4.7134193851739825,4.339160006579696,3.998688492215784,3.902922380911087,4.256081708550262,4.29697053640358,4.39343161176166,4.077013924140786,4.346409430795304,4.032376467696951,3.981189928123497,4.089779484886996
SGL_RS02265,6.54353992009091,6.615343556446742,6.534985214122691,7.036940023501802,6.836216948540547,6.536329125927489,6.942536339352456,7.011091092115504,6.964531114438948,7.243108677007764,7.245472960300176,7.145917258508311
SGL_RS02270,8.437598250058764,8.501677247897211,8.411320242862388,8.66307539705842,8.63363790787779,8.587158850612267,9.036982001236943,9.215954469591537,9.026395751025575,9.276038935511824,9.120859989864417,9.00419804602218
SGL_RS02275,6.79533561271323,6.4557623383054485,6.637882067878676,6.8024185311992245,6.601383802496532,6.707028020126745,7.254845210171805,7.573199616635971,7.56111790867213,6.797191084187841,6.506747623194813,6.654011460324991
SGL_RS02280,9.676525830853222,9.532042435433555,9.524788872162341,9.492295779589083,9.449935034065916,9.491577609481418,9.3803120704158,9.336161305017367,9.361885044441253,9.99528148808941,9.846138671440526,10.000339317228539
SGL_RS02285,8.798649000860959,8.18351701463496,8.376843661454515,8.123439468606822,8.105739409064851,8.310043704362636,7.824992544566308,7.623571375735585,7.805263904454307,9.332895612875346,9.20869936674539,9.59233053839061
SGL_RS02290,7.2115705764908125,6.092246426824474,6.188546570337932,6.311084076315884,6.141046527541445,6.510944234121047,6.1033312350051885,6.436034339842866,6.697550839741923,6.945235103635382,7.074581163141785,6.957774513913153
SGL_RS02295,8.12480839270132,7.659286736078684,7.964041722148779,8.103022664113944,7.8278372672084435,7.874583734441618,7.382236973174402,7.5852995273135715,7.773565403463974,7.7926259623898435,7.5488166427291,7.538568620892512
SGL_RS02300,6.456364204849924,6.821749534896732,6.815020972577127,6.92684237273842,6.922160463560101,6.925145737725496,7.526128749418674,7.219572507902156,7.396069236017722,7.347131691166352,7.238143436831466,7.437607985432828
SGL_RS02305,6.152945441163865,5.978886807654179,6.33357150096319,6.19316091438707,6.117389740843205,6.062059174903321,6.0226790523131255,5.97852183758515,6.034976839333138,5.8690366073570255,5.826219611953123,5.963568460519836
SGL_RS02310,6.782435080309008,6.940917047284839,7.092291149505263,7.263269757394751,7.361807537765227,7.250068541044746,6.415862128279383,6.627655242194035,6.510402347252574,7.100079697591199,7.076986068842059,7.406052105922438
SGL_RS02315,6.5593658136610244,6.216405266493216,6.521405882088258,6.523153874437478,6.393253479797677,6.659889333167606,5.963875616572599,6.31172688322651,6.405074383079921,7.028631058790378,7.06565591097566,7.397113882568808
SGL_RS02320,5.304920286310435,4.864343879457954,5.420914513862695,5.237201221182776,5.262783994112219,5.15813978554294,4.85082675886775,5.001400881575661,5.115666483322572,5.134571693127865,5.201784285445532,5.055461540105549
SGL_RS02325,5.497051999219053,5.159808415366019,5.766549701608494,5.624220188707029,5.631690382643697,5.6619506881953825,4.775761442141038,5.471623885144234,5.407030995162777,5.464113580270467,5.635957464544715,5.285152980769533
SGL_RS18640,2.4997223933537267,3.461140535225527,3.611372851164779,3.476637094945127,3.691894325550173,3.1146270769779996,3.840311462264559,3.057151752652754,3.0809279306722317,4.143807864807457,4.380084295634402,4.3274116486273595
SGL_RS02330,4.7025286770469155,4.428917157133238,4.601377592220837,4.650126581531451,4.425612666910937,4.819724699194912,4.360443165806675,4.00918821777895,4.407977149828835,4.008414935836777,3.9439027571125664,4.154545993906644
SGL_RS02335,6.154301040153002,5.9977985590973555,6.369274975321674,6.136786697320457,6.310779436877047,6.092788449614293,6.182171358592926,6.319171514687434,6.408420291737153,6.170003555198064,6.203263482263712,6.414848738128789
SGL_RS02340,6.040136964743498,5.810108193092467,6.467144115131598,6.036884211033168,5.980583249899009,6.037769365665265,5.586742554747909,5.962671879149235,6.208717702499432,5.05692543945353,5.139964189840609,5.3143457578647775
SGL_RS02345,5.7152068224781045,5.670276501262648,5.583568784297558,5.540291599598102,5.728069472524007,5.519804056303598,6.252849541304973,5.819917767241818,6.340533487363657,5.68701551390388,5.433790766529144,5.713900814850653
SGL_RS02350,4.024460782255819,4.01443190690826,4.060036901102135,3.754889851832111,4.040266174616643,4.032089236566073,4.015840148106802,3.9953595480656263,4.1142722441487125,4.661962679978496,4.109147813579091,4.546701744501724
SGL_RS02355,5.252898879067297,5.374015232842803,5.630824574861822,5.745549499375864,5.475923787511047,5.606575014884529,4.864303749734647,5.17165677511675,5.204770304463844,5.229246911963296,5.394820466933884,5.11777986172308
SGL_RS02360,6.97118766295323,7.231023739636916,7.31358703748152,7.269777313385295,7.434421084295682,7.220029291079472,6.785744737284193,6.9478248281289385,6.9750902312448435,7.052926868652438,7.302058704001482,7.388651506354946
SGL_RS02365,8.35352703150523,8.110988536543598,7.954904924063387,7.9314853449615335,8.009258058832135,7.841372923786419,8.161938667198354,7.956312511186667,7.956537333952797,8.096030795823513,7.944527778886652,7.891671544240529
SGL_RS02370,7.67924703149302,7.807361253011146,7.861452038011573,7.940471185535481,7.7413175343994896,7.745175573535714,7.536251467656214,7.27610640228642,7.3983846258958605,7.41618925051019,7.236219051020362,7.401659526764083
SGL_RS02375,7.224292097361419,7.469582499506873,7.557699281854927,7.426978066046299,7.4323122509609965,7.385076524550541,6.948252493555471,6.842975512440656,6.95837795387856,7.2511883452122765,7.207805704114301,7.4489196083001445
SGL_RS02380,7.164585361758825,6.8009639643296635,6.934895118081954,7.023967051337304,6.892492063214517,6.747575436189498,7.040707635674284,7.195532525259114,7.238096167755973,6.945770854328361,6.931446414439629,6.962434837503576
SGL_RS02385,5.897119433189323,6.229737150449893,6.5348677080349225,6.330624314782316,6.540390948896512,6.59077457121366,4.465682679192835,5.158906770452206,5.049209275624894,4.836673579289686,4.931121842601973,4.4244297711804315
SGL_RS02390,4.385665646348168,4.586455608017184,4.611960166533815,4.530674773072444,3.9788487190333566,3.989180280684405,4.437868239406953,4.618322365134981,4.47673922281928,4.442294627853093,3.967792286985658,4.284666231299309
SGL_RS02395,4.830900548523938,5.051956034064818,5.004715215249592,4.903919830530936,4.964912632483464,4.865467335616807,4.8101248322846,5.891120256592396,5.581832270567198,5.413895231687176,4.659819954245878,4.837313606591095
SGL_RS02400,5.97548541885957,5.8476587210070115,5.631250288951002,4.982023712653799,5.795395995246468,5.224673762566496,5.66033816679395,6.267993462684505,6.281552594605132,5.228334783038748,5.618387772680454,5.427031242568434
