Geneid,SRX669715,SRX669716,SRX669717,SRX669718,SRX669719,SRX669720,SRX669721,SRX669722
SGL_RS03000,5.184335870824411,5.046545068230823,4.591443220294946,5.161344225793786,4.7291925535351576,4.365119069256528,4.370009542885447,5.895213020624564
SGL_RS03005,5.581721583126293,5.7853542037452375,5.695765758475568,5.993345931230388,5.106414556404101,5.117401344257913,5.852842907059178,6.722473837553956
SGL_RS03010,6.482357493922636,6.405249984742611,7.548882729233605,7.20650625153302,6.179241901832967,6.205254497001204,7.365357027832887,7.139566261604861
SGL_RS03015,4.708967621310882,4.71552754768195,3.4250446615933043,4.270169754547869,4.220413523934702,3.571849400666954,4.322591732110142,5.569818072258447
SGL_RS03020,5.605872975099998,5.326695210255355,4.19608036030292,5.469763238453595,4.99697613040855,4.758298985555886,4.626144753840061,6.358306582867305
SGL_RS03025,5.438390107380324,5.493502818338843,3.8555992834261463,5.602919406750413,5.490390709528523,4.742423456226724,4.482203226589391,6.311983102959182
SGL_RS03030,6.60788317990775,6.143432074368759,4.243314881007358,6.023871951854715,5.921505875519439,5.33069207760231,5.325129214575371,7.068656666633944
SGL_RS03035,6.5853646623015605,6.443242357189345,6.071209309120585,6.53307350969629,5.987058833390768,5.72592603412916,5.9203449114332285,6.662078403861227
SGL_RS03040,6.5852640831594265,6.378838842246914,5.631517519605468,6.399701665829395,5.886701787194131,5.512352138406869,5.9009048690665695,6.736736223893405
SGL_RS03045,5.658553500247516,5.806918696645635,3.4680701496779007,5.179047632537254,5.212675868323026,4.624415688663598,3.934171779776449,6.819899667834375
SGL_RS03055,6.266889892810511,6.687152193317715,6.992644946351664,6.966899826053022,5.971308349593786,5.996096476339583,6.915436377908036,7.158284883652715
SGL_RS03060,6.317938056550012,6.428999336414369,6.722184711821731,6.611913312767448,5.694732855211074,5.421649733634918,7.024804098570571,7.503316822115159
SGL_RS03065,5.622147964420239,5.871699214366783,5.580820814084193,5.794673244502587,5.431991423385437,5.179534621655235,5.644484024629861,6.552076643948624
SGL_RS03075,5.83972660906006,5.378309076327736,4.730467408703969,6.120813012768962,6.025612991741878,5.144085596937448,4.8724287629144785,6.754090079602752
SGL_RS03080,9.137884223491675,8.57747612100244,8.309766318369537,8.707961246451799,8.987239014183444,8.8737738627714,8.484625836233237,8.880508961277021
SGL_RS19410,5.748295613491824,7.5517404320891774,5.32445749325822,5.7427869684981925,5.2574131294055215,5.3006963808734096,4.362528633209513,7.077023786806286
SGL_RS03085,7.9679855192358,6.843213754502827,7.325036403165434,7.571883767972684,7.5830492711935245,7.704955774392226,8.142126284813765,8.372615736277364
SGL_RS03090,8.753405646367218,8.326620288756972,8.567408396432894,8.751502195838254,8.234899648517548,8.51970266731488,8.778781009080504,8.773680451404404
SGL_RS03095,7.585404468314314,7.0684478459392395,7.777473955325204,7.934138039539363,7.547021342628357,7.385422085403309,7.574246969745017,7.694604644334549
SGL_RS03100,5.393373491331055,6.360706831579689,5.906609918013126,5.8716868496290795,5.213749460856008,4.695896655880983,5.593837502534354,7.202391883048942
SGL_RS03105,4.724107292518562,5.546384712027717,5.138576733675013,5.059088243285516,4.675865690979085,4.333988111640162,4.6256055004263255,5.679154865294316
SGL_RS03110,7.202652324660063,6.150008089163858,5.97698202492444,6.224639331940102,6.827807735514611,6.5651803440657535,6.814231695874766,7.3392750484804745
SGL_RS03115,5.395364154509475,5.9692202931292915,5.273595759071107,5.645460071927887,5.447328258353238,5.047582047420987,5.5700062672829525,6.533796249875504
SGL_RS03120,9.462171212727503,9.119234132715937,9.121383139727127,8.801967840951278,8.671194560462522,8.528254389342791,9.015396098049614,8.82152649741653
SGL_RS03125,5.535870560165005,5.751604143674583,5.663771343032308,5.885995172302821,5.409510354019983,4.951109823351475,5.6005149196476935,6.376511167342409
SGL_RS03130,6.343495165750186,6.481242666116996,6.289178707636936,6.557793535543481,6.027459328705645,5.925019331500314,6.298163004511933,6.750489730900932
SGL_RS03135,6.788166960009963,7.767509686040594,7.667080993402756,7.740224509326026,6.448373787717058,6.4859967384866275,6.9391763054469,7.017930668796955
SGL_RS03145,6.288088751827258,6.583231857692506,5.986567185124442,6.360204396551697,6.115571299620363,5.931166803342567,6.056658848664519,6.7050827439515395
SGL_RS19755,3.7343548458793387,4.733853578397198,3.745294496877976,5.023671556530386,4.122730996854715,3.370770452860163,3.340997653067198,5.239307853324182
SGL_RS03155,5.46875249605381,5.1458044756011825,4.283940985442087,5.136917503532713,4.745453163799418,4.422619682536634,4.046390859538309,5.971648583032027
SGL_RS03160,6.92637092036896,6.333192728221447,6.187048720909537,6.670406284512903,6.672735272537618,6.429894201128968,6.176154210407551,7.0017748366523564
SGL_RS03165,5.443945358241433,4.859298283966748,3.8188992666408392,4.733639465557344,4.378582426373055,3.934912032769449,3.960172890807079,5.414737181137096
